Contract_number_masked,Customer_ID_masked,Customer_segment,Line_of_business,Product_type,Annual_premium,Payment_frequency,Customer_age,Customer_type,Customer_region,Customer_province,Customer_urbanization,Broker_region,Broker_province,Broker_urbanization,Broker_cor,probability_direct_debit
JBK***119,913***0.0,Retail,P - Liability,P01 - FAMILY P,74.84,Quarterly,D = 40-69,Physical person,FLA,VLI,Urban,FLA,VLI,Rural,9361434187.0,0.3031945062264294
FAM***432,818***4.0,Retail,I - Property,I01 - HABITAT.,415.86,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,7571641514.0,0.30314830022859335
BXP***040,905***8.0,Retail,N - Accident,N05 - IND CIRC,37.63,Annually,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,1.20486577799999e+16,0.3030878573501368
BJN***116,761***1.0,Retail,N - Accident,N05 - IND CIRC,59.06,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.3028106422033359
YHL***788,416***3.0,Retail,N - Accident,N05 - IND CIRC,59.06,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.3028106422033359
JKA***438,977***2.0,Retail,N - Accident,N05 - IND CIRC,138.58,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,808936406.0,0.30277369446865243
SQF***461,737***5.0,Retail,N - Accident,N05 - IND CIRC,84.44,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.30274977803027175
AEQ***511,429***5.0,Retail,I - Property,I01 - HABITAT.,183.98,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,1.184128485e+16,0.30264055284051544
KPI***122,946***3.0,Retail,I - Property,I01 - HABITAT.,91.3,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,5471657511.0,0.30263926775362704
YHD***910,799***1.0,Retail,N - Accident,N05 - IND CIRC,40.72,Annually,C = 30-39,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,1085233983.0,0.30248057993600297
ZNI***673,967***0.0,Retail,I - Property,I01 - HABITAT.,119.78,Quarterly,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,1.17351365099999e+16,0.3024614670208781
WPJ***605,926***2.0,Retail,P - Liability,P01 - FAMILY P,90.82,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Urban,8259165702.0,0.3023896160117053
CQT***038,979***4.0,Retail,I - Property,I01 - HABITAT.,64.42,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,1265974631.0,0.3023208169269174
GQW***857,101***2.0,Retail,P - Liability,P01 - FAMILY P,68.8,Quarterly,S = +69,Physical person,WAL,WHT,Rural,WAL,WHT,Urban,4825647501.0,0.3023028482504836
YEP***976,966***6.0,Retail,P - Liability,P01 - FAMILY P,70.15,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WNA,Rural,7907077426.0,0.30229246229167134
ZKF***062,939***5.0,Retail,I - Property,I01 - HABITAT.,107.26,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,WAL,WHT,Rural,8683563283.0,0.3020930169257547
DWB***787,916***8.0,Retail,A - Motor,A01 - TA/PRIVE,433.11,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,1.04108950799999e+16,0.3020744062318622
IQK***338,929***2.0,Retail,P - Liability,P01 - FAMILY P,88.61,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,1380032298.0,0.30206870070753267
UJJ***907,349***1.0,Retail,N - Accident,N05 - IND CIRC,125.63,Quarterly,S = +69,Physical person,WAL,WHT,Urban,WAL,WHT,Rural,9982925394.0,0.3018526488041546
ZWU***979,965***8.0,Retail,I - Property,I01 - HABITAT.,50.55,Quarterly,C = 30-39,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,8724135574.0,0.3017911500745697
YSO***050,813***2.0,Retail,P - Liability,P01 - FAMILY P,70.15,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,7891175122.0,0.301645098702701
IZA***694,953***9.0,Retail,I - Property,I01 - HABITAT.,272.62,Quarterly,C = 30-39,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,8987608986.0,0.30153106255349904
BHP***977,771***0.0,Retail,A - Motor,A01 - TA/PRIVE,333.52,Quarterly,S = +69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,1035101412.0,0.30145407123226464
PXR***301,817***9.0,Retail,A - Motor,A01 - TA/PRIVE,309.16,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,6991305427.0,0.3013896157301002
WGA***326,326***4.0,Retail,I - Property,I01 - HABITAT.,54.37,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,7839962086.0,0.301340743151736
COE***952,946***3.0,Retail,P - Liability,P01 - FAMILY P,93.54,Quarterly,C = 30-39,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,1008592106.0,0.30124851044871126
SDU***687,961***9.0,Retail,N - Accident,N05 - IND CIRC,36.28,Annually,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,1.20486577799999e+16,0.3012351983966621
ICD***744,358***4.0,Retail,I - Property,I01 - HABITAT.,146.63,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,7463082457.0,0.3011655531682054
JYV***540,929***9.0,Retail,N - Accident,N05 - IND CIRC,40.79,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,FLA,PTS,Rural,100233583.0,0.30098641968046275
GZU***458,916***7.0,SME,A - Motor,"A03 - <= 3,5 T",1612.41,Quarterly,No age,Enterprise,FLA,VWV,Rural,FLA,VWV,Urban,8600972341.0,0.30070828608310235
TZF***642,912***5.0,Retail,I - Property,I01 - HABITAT.,424.75,Quarterly,D = 40-69,Physical person,FLA,VBR,Rural,FLA,VBR,Rural,9189199097.0,0.3006233158422551
JDF***553,937***0.0,Retail,A - Motor,A05 - CYCLO,156.52,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Urban,8718102157.0,0.30048483995658154
JDC***286,833***1.0,SME,A - Motor,"A03 - <= 3,5 T",514.25,Quarterly,No age,Enterprise,FLA,VWV,Rural,FLA,VWV,Urban,763137005.0,0.3004477069886041
UFC***460,920***5.0,Retail,N - Accident,N05 - IND CIRC,77.59,Annually,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WNA,Rural,9450207590000000.0,0.3004408720719615
WFL***909,755***9.0,Retail,A - Motor,A05 - CYCLO,190.81,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,6622183834.0,0.3004081168906974
RCM***983,971***6.0,Retail,P - Liability,P01 - FAMILY P,72.25,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Urban,6295271536.0,0.3001728289359252
CHO***321,430***6.0,Retail,I - Property,I01 - HABITAT.,267.27,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,1.610643723e+16,0.29997489925631876
JRE***283,932***0.0,Retail,I - Property,I01 - HABITAT.,61.23,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,9125638409999990.0,0.299938966143583
WDC***843,930***2.0,Retail,N - Accident,N05 - IND CIRC,62.96,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,100233583.0,0.2999313053058366
QPS***973,587***9.0,Retail,N - Accident,N05 - IND CIRC,38.59,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,8883422068.0,0.29971376645084274
DSH***953,998***6.0,Retail,P - Liability,P01 - FAMILY P,93.54,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,8243182142.0,0.29962085913031006
NLB***144,412***5.0,Retail,A - Motor,A01 - TA/PRIVE,543.74,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,7802174771.0,0.2996125767513131
ZEY***551,948***2.0,Retail,P - Liability,P01 - FAMILY P,58.17,Quarterly,C = 30-39,Physical person,WAL,WLG,Rural,WAL,WNA,Rural,9080915401.0,0.2995783853173792
JYJ***379,937***7.0,Retail,A - Motor,A01 - TA/PRIVE,182.55,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,7934966638.0,0.2994802566567011
