Contract_number_masked,Customer_ID_masked,Customer_segment,Line_of_business,Product_type,Annual_premium,Payment_frequency,Customer_age,Customer_type,Customer_region,Customer_province,Customer_urbanization,Broker_region,Broker_province,Broker_urbanization,Broker_cor,probability_direct_debit
BEU***206,905***0.0,Retail,P - Liability,P01 - FAMILY P,74.82,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.47749916
LWO***025,938***4.0,Retail,N - Accident,N05 - IND CIRC,27.37,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,1380032298.0,0.47717932
RBW***587,822***5.0,Retail,P - Liability,P01 - FAMILY P,57.8,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,635810996.0,0.47682655
AXW***137,925***4.0,Retail,I - Property,I01 - HABITAT.,189.43,Quarterly,C = 30-39,Physical person,FLA,VWV,Rural,FLA,VWV,Urban,8718102157.0,0.47679725
SAP***711,106***6.0,Retail,P - Liability,P01 - FAMILY P,93.55,Quarterly,S = +69,Physical person,WAL,WHT,Urban,WAL,WNA,Rural,7770774159999990.0,0.4757639
FLH***580,833***6.0,Retail,A - Motor,A01 - TA/PRIVE,381.74,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,4328455693.0,0.47524545
URX***675,957***7.0,Retail,I - Property,I01 - HABITAT.,131.6,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,9119801543.0,0.4746826
UNE***467,980***7.0,Retail,A - Motor,A01 - TA/PRIVE,62.69,Annually,S = +69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.47446787
XGY***817,977***4.0,Retail,P - Liability,P01 - FAMILY P,56.12,Annually,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,1.49065480699999e+16,0.47333208
SKZ***519,891***2.0,Retail,N - Accident,N05 - IND CIRC,54.67,Quarterly,S = +69,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,8196603272.0,0.47303042
ZWR***610,941***2.0,Retail,P - Liability,P01 - FAMILY P,72.65,Quarterly,D = 40-69,Physical person,FLA,VLI,Urban,FLA,VLI,Urban,9315227891.0,0.47296897
NTS***117,928***3.0,Retail,I - Property,I01 - HABITAT.,81.61,Quarterly,S = +69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,7250216457.0,0.47279128
LHW***248,955***9.0,Retail,I - Property,I01 - HABITAT.,208.12,Quarterly,D = 40-69,Physical person,FLA,VOV,Urban,FLA,VOV,Rural,7571641514.0,0.4725514
JDZ***088,827***6.0,Retail,I - Property,I01 - HABITAT.,462.26,Quarterly,D = 40-69,Physical person,WAL,WHT,Urban,WAL,WHT,Rural,6622183834.0,0.472526
ESY***392,907***3.0,Retail,N - Accident,N05 - IND CIRC,67.98,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.47228107
ZBF***288,947***3.0,Retail,P - Liability,P01 - FAMILY P,70.15,Quarterly,C = 30-39,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9080915401.0,0.4716243
KIC***809,853***9.0,SME,E - Liability,E06 - Liabilit,106.76,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Rural,7406040172.0,0.47133124
WGN***461,944***1.0,Retail,P - Liability,P01 - FAMILY P,57.8,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Rural,9314985846.0,0.47124934
MJS***542,899***2.0,Retail,A - Motor,A01 - TA/PRIVE,462.05,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,6132331826.0,0.4708803
MVE***948,863***2.0,Retail,I - Property,I01 - HABITAT.,173.58,Quarterly,C = 30-39,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,7776034720000000.0,0.47040415
XVF***931,703***9.0,Retail,P - Liability,P01 - FAMILY P,72.25,Annually,C = 30-39,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,8978687359.0,0.46950442
COE***952,946***3.0,Retail,P - Liability,P01 - FAMILY P,93.54,Quarterly,C = 30-39,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,1008592106.0,0.46931854
YVY***121,883***8.0,Retail,P - Liability,P01 - FAMILY P,93.54,Quarterly,D = 40-69,Physical person,WAL,WNA,Urban,WAL,WNA,Rural,6812887198.0,0.46869373
ZXK***550,963***5.0,Retail,I - Property,I01 - HABITAT.,112.22,Quarterly,D = 40-69,Physical person,WAL,WHT,Urban,WAL,WHT,Urban,7563099353.0,0.46832424
SSM***074,909***2.0,Retail,P - Liability,P01 - FAMILY P,90.83,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.4682957
IHW***702,787***4.0,Retail,P - Liability,P01 - FAMILY P,90.83,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.4682957
JPF***227,884***0.0,Retail,P - Liability,P01 - FAMILY P,90.83,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.4682957
AJC***965,824***7.0,Retail,P - Liability,P01 - FAMILY P,93.55,Annually,S = +69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.4677398
IFT***972,813***0.0,Retail,P - Liability,P01 - FAMILY P,72.66,Annually,S = +69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.46733496
FFG***913,115***7.0,Retail,N - Accident,N05 - IND CIRC,48.76,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.46706745
FEC***521,828***4.0,Retail,N - Accident,N05 - IND CIRC,48.86,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.46706745
RWR***076,874***6.0,Retail,N - Accident,N05 - IND CIRC,35.44,Annually,C = 30-39,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.46697313
JBW***858,951***7.0,Retail,N - Accident,N05 - IND CIRC,42.14,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Urban,1015174688.0,0.4668899
VCC***478,869***7.0,Retail,I - Property,I01 - HABITAT.,133.45,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.46609282
AVR***728,821***1.0,Retail,P - Liability,P01 - FAMILY P,131.57,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.4660721
WCK***486,927***8.0,Retail,I - Property,I01 - HABITAT.,235.25,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,FLA,PTS,Rural,9189199097.0,0.46607116
LJI***887,785***4.0,Retail,P - Liability,P01 - FAMILY P,93.1,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.46546715
QEX***967,946***8.0,Retail,I - Property,I01 - HABITAT.,96.02,Quarterly,S = +69,Physical person,WAL,WNA,Rural,WAL,WLG,Rural,4680491434.0,0.46495816
SRC***983,717***2.0,Retail,N - Accident,N05 - IND CIRC,37.21,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,9003952545.0,0.4649192
FEG***838,867***5.0,Retail,I - Property,I01 - HABITAT.,73.19,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,4328455693.0,0.46477675
YSO***050,813***2.0,Retail,P - Liability,P01 - FAMILY P,70.15,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,7891175122.0,0.463283
TJK***527,319***3.0,Retail,N - Accident,N05 - IND CIRC,87.2,Annually,S = +69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.4631184
NBD***230,925***7.0,Retail,I - Property,I01 - HABITAT.,105.9,Quarterly,S = +69,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,8718102157.0,0.46308056
QMI***031,868***2.0,Retail,N - Accident,N05 - IND CIRC,57.9,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,8987608986.0,0.4621525
MAF***210,775***9.0,Retail,I - Property,I01 - HABITAT.,61.95,Annually,C = 30-39,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9307869772.0,0.46214223
