model,accuracy,precision,recall,f1_score,roc_auc,average_precision
XGBoost_no_tuning,0.9853038747346072,0.9982525366403607,0.9317093702320198,0.9638337823495795,0.981795901180338,0.9727900136069448
LogisticRegression_baseline,0.9852154104741684,1.0,0.92965749460725,0.9635466368568858,0.9769771772641875,0.9679410907436536
Baseline_most_frequent,0.7898199752300071,0.0,0.0,0.0,0.5,0.21018002476999292
